iter	MultiClass
0	1.085469408
1	1.078699304
2	1.068027389
3	1.053898011
4	1.047403587
5	1.041064412
6	1.03145469
7	1.025669515
8	1.014291496
9	1.011080031
10	1.003549187
11	0.9942487587
12	0.9845552381
13	0.9814252341
14	0.9699447703
15	0.963125552
16	0.9466497623
17	0.9437473403
18	0.9381874434
19	0.9285527672
20	0.9135341173
21	0.9080225236
22	0.8967249227
23	0.8905875136
24	0.887731739
25	0.8770429248
26	0.869719347
27	0.8635208416
28	0.8574144209
29	0.8477094657
30	0.8353649536
31	0.8232102111
32	0.814023697
33	0.8064081679
34	0.7992456497
35	0.7903427035
36	0.7839735442
37	0.7730124583
38	0.7627902427
39	0.7574892912
40	0.7506018809
41	0.7415095337
42	0.7348987437
43	0.7229197212
44	0.7139800946
45	0.7061998393
46	0.7039259723
47	0.6991827183
48	0.6905198938
49	0.6839974089
50	0.6776825703
51	0.6722743932
52	0.6673289796
53	0.6586031543
54	0.649867841
55	0.6412612456
56	0.6346049593
57	0.6262010726
58	0.6187927721
59	0.6123789666
60	0.6029592735
61	0.5954777788
62	0.5905813112
63	0.5841215446
64	0.5770958427
65	0.5703138172
66	0.5641679043
67	0.5581189026
68	0.5504151257
69	0.5431927143
70	0.5367560969
71	0.5295026538
72	0.5205971204
73	0.5155953611
74	0.5083785699
75	0.5003973624
76	0.4934313838
77	0.4878344221
78	0.4813053303
79	0.4759575747
80	0.47012016
81	0.4650955111
82	0.4600319089
83	0.4548264928
84	0.448079683
85	0.4434483065
86	0.4369743394
87	0.4303525568
88	0.4248672713
89	0.4195269736
90	0.4150197953
91	0.410500107
92	0.4061473752
93	0.4018891516
94	0.3976853311
95	0.3930599577
96	0.3878459961
97	0.382592824
98	0.3774580493
99	0.3728880458
100	0.3679705785
101	0.3643529114
102	0.3608773282
103	0.356967032
104	0.3536347419
105	0.349571371
106	0.3465464316
107	0.343222198
108	0.3389103596
109	0.3344653369
110	0.3312281926
111	0.3280465275
112	0.3240337574
113	0.3210540249
114	0.3182478941
115	0.3148546374
116	0.3115271202
117	0.3082635458
118	0.3056472215
119	0.3030693031
120	0.3007980815
121	0.2980193224
122	0.295409583
123	0.2923222748
124	0.2899279832
125	0.2871539948
126	0.2841032157
127	0.2818211065
128	0.2791743558
129	0.2760966037
130	0.2735415052
131	0.2712803644
132	0.2690511627
