iter	Passed	Remaining
0	58	58334
1	58	29233
2	58	19575
3	59	14752
4	59	11828
5	59	9885
6	59	8496
7	60	7444
8	60	6641
9	60	5986
10	60	5465
11	61	5034
12	61	4666
13	61	4338
14	61	4068
15	62	3830
16	62	3612
17	62	3416
18	62	3241
19	63	3093
20	63	2958
21	63	2827
22	63	2714
23	64	2610
24	64	2508
25	64	2421
26	64	2337
27	65	2262
28	65	2192
29	65	2129
30	66	2067
31	66	2008
32	66	1953
33	66	1903
34	67	1853
35	67	1807
36	67	1760
37	67	1720
38	68	1677
39	68	1641
40	68	1607
41	69	1575
42	69	1546
43	69	1512
44	69	1480
45	69	1451
46	70	1422
47	70	1397
48	70	1371
49	70	1345
50	71	1323
51	71	1300
52	71	1280
53	72	1261
54	72	1241
55	72	1220
56	72	1201
57	72	1184
58	73	1165
59	73	1146
60	73	1129
61	73	1112
62	73	1096
63	74	1091
64	74	1075
65	75	1062
66	75	1051
67	75	1037
68	75	1024
69	76	1012
70	76	1001
71	76	988
72	76	976
73	77	966
74	77	955
75	77	943
76	77	934
77	78	923
78	78	914
79	78	905
80	78	895
81	79	885
82	79	875
83	79	867
84	79	858
85	79	849
86	80	840
87	80	831
88	80	824
89	80	817
90	81	809
91	81	802
92	81	795
93	81	789
94	82	783
95	82	775
96	82	770
97	82	762
98	83	755
99	83	749
100	83	743
101	84	743
102	84	737
103	84	731
104	85	725
105	85	720
106	85	714
107	85	708
108	85	702
109	86	697
110	86	692
111	86	688
112	87	683
113	87	677
114	87	673
115	87	668
116	87	663
117	88	659
118	88	654
119	88	649
120	88	645
121	89	640
122	89	636
123	89	632
124	89	627
125	89	623
126	90	620
127	90	615
128	90	612
129	90	607
130	91	604
131	91	601
132	91	597
133	92	594
134	92	591
135	92	588
136	92	585
137	93	582
138	93	578
139	93	575
140	93	571
141	94	568
142	94	565
143	94	562
144	95	560
145	95	556
146	95	553
147	95	550
148	95	548
149	96	545
150	96	542
151	96	539
152	96	536
153	97	533
154	97	530
155	97	528
156	97	526
157	98	523
158	98	520
159	98	517
160	98	514
161	99	512
162	99	509
163	99	506
164	99	503
165	99	501
166	100	499
167	100	497
168	100	494
169	100	492
170	101	490
171	101	487
172	101	485
173	101	482
174	101	479
175	102	477
176	102	475
177	102	473
178	102	471
179	103	469
180	103	467
181	103	464
182	103	462
183	103	460
184	104	459
185	104	457
186	104	455
187	105	453
188	105	451
189	105	449
190	105	447
191	105	445
192	106	443
193	106	441
194	106	440
195	106	438
196	107	436
197	107	434
198	107	432
199	107	430
200	107	428
201	108	427
202	108	425
203	108	423
204	108	421
205	109	420
206	109	418
207	109	416
208	109	414
209	109	412
210	110	411
211	110	409
212	110	407
213	110	406
214	110	405
215	111	403
216	111	401
217	111	400
218	111	398
219	112	397
220	112	395
221	112	394
222	112	392
223	112	390
224	112	389
225	113	387
226	113	386
227	113	384
228	114	383
229	114	382
230	114	380
231	114	379
232	114	378
233	115	377
234	115	375
235	115	374
236	115	373
237	116	371
238	116	370
239	116	369
240	116	368
241	117	367
242	117	366
243	117	364
244	118	363
245	118	362
246	118	361
247	118	360
248	119	359
249	119	357
250	119	356
251	119	355
252	119	354
253	120	353
254	120	351
255	120	350
256	120	349
257	121	348
258	121	347
259	121	346
260	121	345
261	122	344
262	122	343
263	122	342
264	123	341
265	123	340
266	123	339
267	123	338
268	124	337
269	124	336
270	124	335
271	124	334
272	124	332
273	125	331
274	125	330
275	125	329
276	125	328
277	126	327
278	126	326
279	126	325
280	126	324
281	127	323
282	127	322
283	127	321
284	127	320
285	128	319
286	128	318
287	128	317
288	128	316
289	128	315
290	129	314
291	129	313
292	129	312
293	129	311
294	129	310
295	130	309
296	130	308
297	130	307
298	130	307
299	131	306
300	131	305
301	131	304
302	132	303
303	132	302
304	132	301
305	132	301
306	133	300
307	133	299
308	133	298
309	133	298
310	134	297
311	134	296
312	134	295
313	135	295
314	135	294
315	135	293
316	135	292
317	136	291
318	136	290
319	136	290
320	136	289
321	137	288
322	137	288
323	137	287
324	137	286
325	138	285
326	138	284
327	138	283
328	138	282
329	138	281
330	139	281
331	139	280
332	139	279
333	139	278
334	139	277
335	140	276
336	140	276
337	140	275
338	140	274
339	141	274
340	141	273
341	141	272
342	142	272
343	142	271
344	142	270
345	142	269
346	143	269
347	143	268
348	143	267
349	143	267
350	144	266
351	144	266
352	144	265
353	145	264
354	145	264
355	145	264
356	146	263
357	146	262
358	146	262
359	146	261
360	147	260
361	147	259
362	147	259
363	148	258
364	148	258
365	148	257
366	148	256
367	148	255
368	149	255
369	149	254
370	149	253
371	149	252
372	150	252
373	150	251
374	150	250
375	150	249
376	150	249
377	151	248
378	151	247
379	151	247
380	151	246
381	152	246
382	152	245
383	152	244
384	152	244
385	153	243
386	153	242
387	153	242
388	153	241
389	154	240
390	154	240
391	154	239
392	154	239
393	155	238
394	155	237
395	155	237
396	156	237
397	156	236
398	156	236
399	156	235
400	157	234
401	157	234
402	157	233
403	157	232
404	158	232
405	158	231
406	158	230
407	158	230
408	158	229
409	158	228
410	159	228
411	159	227
412	159	227
413	160	226
414	160	226
415	160	225
416	160	224
417	160	224
418	161	223
419	161	222
420	161	222
421	161	221
422	161	220
423	162	220
424	162	219
425	162	219
426	163	218
427	163	218
428	163	217
429	163	217
430	163	216
431	164	216
432	164	215
433	164	214
434	165	214
435	165	213
436	165	213
437	165	212
438	165	211
439	166	211
440	166	210
441	166	210
442	166	209
443	167	209
444	167	208
445	167	208
446	167	207
447	168	207
448	168	206
449	168	206
450	168	205
451	169	205
452	169	204
453	169	204
454	170	203
455	170	203
456	170	202
457	170	202
458	171	201
459	171	201
460	171	201
461	172	200
462	172	200
463	172	199
464	173	199
465	173	198
466	173	198
467	174	197
468	174	197
469	174	196
470	174	196
471	175	195
472	175	195
473	175	194
474	175	194
475	176	193
476	176	193
477	176	193
478	177	192
479	177	192
480	177	191
481	178	191
482	178	191
483	178	190
484	179	190
485	179	189
486	179	189
487	179	188
488	180	188
489	180	187
490	180	187
491	180	186
492	180	186
493	181	185
494	181	185
495	181	184
496	182	184
497	182	183
498	182	183
499	182	182
500	183	182
501	183	181
502	183	181
503	183	180
504	183	180
505	184	179
506	184	179
507	184	178
508	185	178
509	185	178
510	185	177
511	185	177
512	186	176
513	186	176
514	186	175
515	186	175
516	187	174
517	187	174
518	187	173
519	187	173
520	187	172
521	188	172
522	188	171
523	188	171
524	188	170
525	189	170
526	189	170
527	189	169
528	189	169
529	190	168
530	190	168
531	190	167
532	190	167
533	191	166
534	191	166
535	191	165
536	191	165
537	193	165
538	193	165
539	193	164
540	193	164
541	194	164
542	194	163
543	195	163
544	195	163
545	195	162
546	196	162
547	196	161
548	196	161
549	196	161
550	197	160
551	197	160
552	197	159
553	197	159
554	198	158
555	198	158
556	198	158
557	199	157
558	199	157
559	199	156
560	200	156
561	200	156
562	200	155
563	200	155
564	201	154
565	201	154
566	201	153
567	201	153
568	202	153
569	202	152
570	202	152
571	203	151
572	203	151
573	203	151
574	203	150
575	203	150
576	204	149
577	204	149
578	204	148
579	204	148
580	205	147
581	205	147
582	205	147
583	205	146
584	206	146
585	206	145
586	206	145
587	207	145
588	207	144
589	207	144
590	207	143
591	208	143
592	208	143
593	208	142
594	209	142
595	209	142
596	209	141
597	209	141
598	210	140
599	210	140
600	210	139
601	211	139
602	211	139
603	211	138
604	211	138
605	212	137
606	212	137
607	212	137
608	212	136
609	213	136
610	213	135
611	213	135
612	213	135
613	214	134
614	214	134
